Time,Date,Latitude,Longitude,Total PDCP DL Throughput,Total PDCP UL Throughput,PDSCH Phy Throughput (kbps),PUSCH Phy Throughput (kbps),PDSCH Resource Blocks Allocated (Allocated Subframes Only),PDSCH Resource Block Allocation (%),PUSCH Resource Blocks Allocated (Allocated Subframes Only),Number of PUSCH Resource Blocks,Number of PDSCH Resource Blocks,PDCP Throughput DL (kbps),PDCP Throughput UL (kbps),PHY Layer Throughput PDSCH (kbps),PHY Layer Throughput PUSCH (kbps),RLC Throughput DL (kbps)(LTE Throughputs from Data Collector),RLC Throughput UL (kbps)(LTE Throughputs from Data Collector)
51:09.0,3/21/2022,7.2814675,5.2141595,0.389999986,1.039999962,1.549999952,180.8800049,3.700000048,0.050000001,2,0.400000006,0,0.519999981,1.039999962,4.900000095,179.8600006,1.289999962,0.75999999
51:11.0,3/21/2022,7.281485,5.2142695,0.779999971,0.74000001,3.589999914,185.75,5,0.600000024,2,0.400000006,0.600000024,0.779999971,0.689999998,1.74000001,186.0700073,0.649999976,1.139999986
51:13.0,3/21/2022,7.281506,5.2143865,1.460000038,2.710000038,6.03000021,188.0599976,4,0.180000007,2,0.400000006,0.200000003,1.460000038,2.609999895,18.96999931,187.5700073,1.809999943,2.579999924
51:15.0,3/21/2022,7.2815335,5.214522,0.779999971,2.390000105,5.070000172,188.8000031,4.599999905,0.219999999,2,0.400000006,0.200000003,0.779999971,1.870000005,22.26000023,188.3800049,0.689999998,2.720000029
51:17.0,3/21/2022,7.2815645,5.214671,0.779999971,1.360000014,3.25,188.5599976,7.199999809,0.879999995,2.099999905,0.400000006,0.899999976,0.779999971,1.75999999,4.059999943,191.1100006,0.980000019,1.220000029
51:19.0,3/21/2022,7.2815915,5.214838,0.779999971,1.320000052,1.779999971,187.1000061,3.799999952,0.589999974,2,0.400000006,0.600000024,0.779999971,1.320000052,3,183.9400024,0.649999976,1.909999967
51:21.0,3/21/2022,7.2816185,5.215031,0.389999986,1.039999962,3.069999933,185.9100037,3.299999952,0.379999995,2,0.400000006,0.400000006,0.519999981,1.039999962,1.870000005,185.4900055,0.649999976,0.769999981
51:23.0,3/21/2022,7.2816415,5.21524,1.460000038,2.089999914,3.690000057,179.5599976,5.300000191,0.129999995,2,0.400000006,0.100000001,1.460000038,2.359999895,11.60999966,177.6499939,1.210000038,2.109999895
51:25.0,3/21/2022,7.281666,5.2154515,0.779999971,2.109999895,3.440000057,185.2400055,3.599999905,0.140000001,2,0.400000006,0.100000001,0.779999971,1.899999976,7.059999943,184.8800049,1.309999943,2.369999886
51:27.0,3/21/2022,7.2816915,5.2156665,0.779999971,1.679999948,1.799999952,187.5200043,4,0.239999995,2.099999905,0.400000006,0.200000003,0.779999971,1.700000048,2.170000076,188.25,0.680000007,1.679999948
51:29.0,3/21/2022,7.281713,5.2158825,0.779999971,1.039999962,1.299999952,186.5399933,4.599999905,0.460000008,2,0.400000006,0.5,0.779999971,1.25,1.419999957,186.6000061,0.649999976,1.519999981
51:31.0,3/21/2022,7.281731,5.216101,0.389999986,1.039999962,0.660000026,189.9199982,4.699999809,0.460000008,2,0.400000006,0.5,0.519999981,1.039999962,3.309999943,184.8099976,0.959999979,0.75999999
51:33.0,3/21/2022,7.281746,5.216325,0.779999971,1.5,2.799999952,188.3300018,4,0.119999997,2,0.400000006,0.100000001,0.779999971,0.75999999,1.580000043,183.3800049,0.649999976,1.600000024
51:35.0,3/21/2022,7.2817595,5.216555,1.460000038,2,2.279999971,181.9799957,4.699999809,0.119999997,2,0.400000006,0.100000001,1.460000038,2.339999914,7.110000134,178.7299957,1.230000019,2.130000114
